player,pValue,slope,intercept,r-SquaredValue,stdErr,numDataPoints
Derrick Rose,0.433114201467,0.11954919409,0.429722980043,0.00254109905041,0.152256442401,244
Nene Hilario,0.989777209132,0.00159563714092,0.647934047038,7.61787752273e-07,0.12439132751,218
Brendan Haywood,0.405106179329,-0.0923503092594,0.644149027549,0.00405692939633,0.110651888707,173
Travis Outlaw,0.629636199244,-0.0352211129152,0.44152137001,0.000609392763413,0.0729777347478,384
Marco Belinelli,0.945363129257,0.00759468944737,0.440544590869,2.16923903848e-05,0.110693402426,219
Ron Artest,0.383552671262,0.0998006572214,0.372717933594,0.00247420255558,0.114369087467,309
Josh Childress,0.17423723279,-0.131920594675,0.693963528747,0.00898673432043,0.0967552306413,207
Ronnie Price,0.548844845768,-0.0610354454706,0.453085911763,0.00229377803912,0.101591632116,159
Corey Maggette,0.8891122499,0.0134136874879,0.470329235912,6.26068489667e-05,0.0961265755345,313
Luis Scola,0.437755305161,0.091247809482,0.492037236636,0.00225695437009,0.117412620773,269
Anthony Johnson,0.531100258348,0.0592649794549,0.339526531428,0.00214719432229,0.0944430838485,185
Danny Granger,0.458991674383,0.059121014711,0.415482745789,0.00127888277921,0.0797663977901,431
Boris Diaw,0.349257567452,0.0756063721929,0.460815137358,0.00203785561956,0.0806853152498,432
David Lee,0.597408446764,0.042506002461,0.58726933493,0.0006373330621,0.0804250879204,440
Cuttino Mobley,0.923025712102,-0.0148168381264,0.419831898366,4.65624775769e-05,0.15315435686,203
Brandon Jennings,0.537685176173,0.0792256832092,0.335167701663,0.00164656443394,0.12835500156,233
Al Horford,0.919073205771,-0.0116515113716,0.58373585306,3.48148898222e-05,0.114581358245,299
Derek Fisher,0.0093356409564,0.235188667804,0.276721868163,0.0205461655921,0.0899361278786,328
Kenyon Martin,0.582352153677,0.0708218240932,0.453270603404,0.00149244774185,0.128571644779,205
Al Jefferson,0.232401936788,-0.116181321727,0.594620569646,0.0031888553227,0.0971564383854,449
Shaun Livingston,0.190883045922,-0.119062685794,0.522876052549,0.00762528528759,0.0907530986871,226
Drew Gooden,0.914775934779,-0.0139066073504,0.476426182657,4.68393737772e-05,0.129814271092,247
Channing Frye,0.655946738333,0.0408695453607,0.419977465295,0.000619104524489,0.0916496525694,323
Dwyane Wade,0.259132657068,0.0902370017135,0.424331088707,0.00281015166943,0.0798655707849,455
Devin Harris,0.955885094278,0.00491879909244,0.449948506737,8.08472908416e-06,0.0888597297197,381
Trevor Ariza,0.714981054117,-0.0291235080666,0.426049104479,0.000434986363715,0.079678692892,309
Ronald Murray,0.46019357487,0.0704441255802,0.403261665476,0.00229388031964,0.0952296623412,240
Ben Gordon,0.473764656152,-0.0507004909361,0.426651991926,0.00103514827893,0.0707204716149,498
Amir Johnson,0.704482107897,-0.0371524686617,0.661170130781,0.000746996729962,0.0978109332738,195
Mehmet Okur,0.244632529634,0.116786725807,0.377407874733,0.00430870127982,0.100188487872,316
Jose Calderon,0.660484492493,0.0336790708475,0.455403875233,0.000501656769632,0.0766156406429,387
Joe Smith,0.11335895373,0.175223099422,0.45118780638,0.0145947236756,0.11010392629,173
James Posey,0.0688503409165,-0.128767114688,0.423615077936,0.0115677493904,0.0705068889726,287
Juwan Howard,0.936578652298,-0.00808437298578,0.531463202285,3.67035528042e-05,0.101452153002,175
Charlie Bell,0.529578091988,-0.0511015849277,0.419336507444,0.00156392505576,0.0811757430877,255
Dorell Wright,0.423823469782,-0.0719165950314,0.444157909624,0.00248113996653,0.0897747469546,260
Will Bynum,0.382786535786,-0.0745713764194,0.473654474225,0.00390869307713,0.0852488725038,197
Andres Nocioni,0.370737811408,-0.0732069483849,0.466416132927,0.0026715123027,0.0816642916446,302
Eduardo Najera,0.491595810408,-0.0671514161163,0.496242382751,0.00292468641481,0.097414139009,164
Roger Mason,0.988540656641,0.00120901039203,0.36730075645,8.9884599709e-07,0.0840859192397,232
Darius Songaila,0.986402898093,0.00148857534961,0.534346596034,1.31123189505e-06,0.0872477625977,224
Chris Kaman,0.956364261975,-0.00595401759623,0.527934242674,9.51950985142e-06,0.108729020575,317
Marc Gasol,0.313646875843,0.122550869524,0.47942314289,0.00371877099531,0.12140213654,275
Jerry Stackhouse,0.203529056506,0.160252040399,0.347882083686,0.00877251428426,0.125579654062,186
Shaquille O'Neal,0.282001367998,-0.153980747982,0.720795579933,0.00569932432264,0.142746539103,205
Andre Iguodala,0.745436333559,-0.0279149248866,0.454195035834,0.000213565524075,0.0859332102251,496
Ersan Ilyasova,0.638803529712,0.0498604970067,0.38752273373,0.00107149208829,0.106070767772,208
O.J. Mayo,0.320655739286,0.0959413584304,0.353377504312,0.00284232695,0.0964686114033,349
Rasual Butler,0.281341535899,0.0842613111736,0.350006955819,0.00359228004424,0.0780837029538,325
